"Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BirthYear","MonthlyLeaves","OverTimeHours"
28,"1","Travel_Rarely","Audit"," 1시간이상",3,"기술공학",19,3,"0",2,1,"기술컨설팅직",3,"Single",2028,5,14,3,2,6,4,3,4,2,0,3,1992,1,38
29,"0","Travel_Rarely","Audit"," 1시간이상",4,"기술공학",20,2,"1",4,3,"세무직",1,"Divorced",9980,1,11,3,3,10,1,3,10,9,8,8,1991,3,0
32,"0","Travel_Rarely","Audit","30분미만",2,"기술공학",21,1,"0",4,1,"컨설팅직",2,"Divorced",3298,0,12,3,4,7,5,2,6,2,0,5,1988,3,26
22,"0","Non-Travel","Audit","1시간미만",2,"상경계",22,4,"0",4,1,"기술컨설팅직",4,"Divorced",2935,1,13,3,2,1,2,2,1,0,0,0,1998,0,36
53,"0","Travel_Rarely","Tax","30분미만",4,"기술공학",23,1,"1",2,4,"연구직",4,"Married",15427,2,16,3,3,31,3,3,25,8,3,7,1967,1,0
38,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",24,4,"0",3,1,"컨설팅직",4,"Single",3944,5,11,3,3,6,3,3,3,2,1,2,1982,0,4
24,"0","Non-Travel","Audit","1시간미만",2,"기타",26,1,"1",4,2,"세무직",3,"Divorced",4011,0,18,3,4,5,5,2,4,2,1,3,1996,1,0
36,"1","Travel_Rarely","Tax","30분미만",4,"기술공학",27,3,"0",2,1,"영업직",1,"Single",3407,7,23,4,2,10,4,3,5,3,0,3,1984,3,0
34,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",28,1,"1",3,3,"기술직",2,"Single",11994,0,11,3,3,13,4,3,12,6,2,11,1986,2,0
21,"0","Travel_Rarely","Audit","1시간미만",2,"기술공학",30,3,"0",3,1,"컨설팅직",4,"Single",1232,1,14,3,4,0,6,3,0,0,0,0,1999,2,0
34,"1","Travel_Rarely","Audit","30분미만",1,"상경계",31,2,"0",3,1,"컨설팅직",1,"Single",2960,2,11,3,3,8,2,3,4,2,1,3,1986,0,0
53,"0","Travel_Rarely","Audit","30분미만",3,"기타",32,3,"1",3,5,"연구직",3,"Divorced",19094,4,11,3,4,26,3,2,14,13,4,8,1967,0,0
32,"1","Travel_Frequently","Audit","1시간미만",1,"기술공학",33,2,"1",1,1,"컨설팅직",1,"Single",3919,1,22,4,2,10,5,3,10,2,6,7,1988,2,20
42,"0","Travel_Rarely","Tax","30분미만",4,"인문학",35,3,"0",3,2,"감사직",2,"Married",6825,0,11,3,4,10,2,3,9,7,4,2,1978,2,0
44,"0","Travel_Rarely","Audit","30분미만",4,"상경계",36,1,"1",2,3,"투자자문직",4,"Married",10248,3,14,3,4,24,4,3,22,6,5,17,1976,1,0
46,"0","Travel_Rarely","Tax","30분미만",4,"인문학",38,2,"1",3,5,"연구직",1,"Single",18947,3,12,3,4,22,2,2,2,2,2,1,1974,2,0
33,"0","Travel_Rarely","Audit","30분미만",3,"상경계",39,3,"0",3,1,"기술컨설팅직",4,"Single",2496,4,11,3,4,7,3,3,1,1,0,0,1987,3,0
44,"0","Travel_Rarely","Audit","30분미만",4,"기타",40,4,"0",3,2,"투자자문직",4,"Married",6465,2,13,3,4,9,5,4,4,2,1,3,1976,2,26
30,"0","Travel_Rarely","Audit","30분미만",2,"상경계",41,4,"0",2,1,"기술컨설팅직",3,"Single",2206,1,13,3,1,10,5,3,10,0,1,8,1990,1,0
39,"1","Travel_Rarely","Tax","30분미만",3,"자연과학",42,4,"0",3,2,"영업직",4,"Married",2086,3,14,3,3,19,6,4,1,0,0,0,1981,2,0
24,"1","Travel_Rarely","Audit","30분미만",3,"상경계",45,2,"0",3,1,"컨설팅직",4,"Married",2293,2,16,3,1,6,2,2,2,0,2,0,1996,2,32
43,"0","Travel_Rarely","Audit","30분미만",2,"상경계",46,4,"1",4,1,"컨설팅직",3,"Divorced",2645,1,12,3,4,6,3,2,5,3,1,4,1977,1,0
50,"1","Travel_Rarely","Tax","30분미만",2,"인문학",47,1,"0",2,1,"영업직",3,"Married",2683,1,14,3,3,3,2,3,3,2,0,2,1970,1,39
35,"0","Travel_Rarely","Tax","30분미만",3,"인문학",49,4,"1",3,1,"영업직",4,"Married",2014,1,13,3,1,2,3,3,2,2,2,2,1985,2,0
36,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",51,2,"1",2,1,"컨설팅직",1,"Married",3419,9,14,3,4,6,3,4,1,1,0,0,1984,0,30
33,"0","Travel_Frequently","Tax","30분미만",3,"기술공학",52,3,"1",4,2,"감사직",1,"Married",5376,2,19,3,1,10,3,3,5,3,1,3,1987,0,0
35,"0","Travel_Rarely","Audit","30분미만",2,"기타",53,3,"0",3,1,"기술컨설팅직",4,"Divorced",1951,1,12,3,3,1,3,3,1,0,0,0,1985,1,0
27,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",54,4,"1",3,1,"기술컨설팅직",1,"Divorced",2341,1,13,3,4,1,6,3,1,0,0,0,1993,3,0
26,"1","Travel_Rarely","Audit"," 1시간이상",3,"기술공학",55,1,"0",1,1,"기술컨설팅직",3,"Single",2293,1,12,3,3,1,2,2,1,0,0,1,1994,2,0
27,"0","Travel_Frequently","Tax","30분미만",3,"기술공학",56,4,"0",3,3,"감사직",3,"Single",8726,1,15,3,4,9,0,3,9,8,1,7,1993,3,0
30,"0","Travel_Frequently","Audit","30분미만",2,"상경계",57,3,"1",3,2,"기술컨설팅직",4,"Single",4011,1,23,4,4,12,2,3,12,8,3,7,1990,1,0
41,"1","Travel_Rarely","Audit","1시간미만",3,"자연과학",58,2,"1",3,5,"기술직",3,"Married",19545,1,12,3,4,23,0,3,22,15,15,8,1979,0,0
34,"0","Non-Travel","Tax"," 1시간이상",4,"인문학",60,2,"0",3,2,"감사직",3,"Single",4568,0,20,4,3,10,2,3,9,5,8,7,1986,1,0
37,"0","Travel_Rarely","Audit","1시간미만",2,"기술공학",61,2,"0",3,1,"컨설팅직",2,"Married",3022,4,21,4,1,8,1,3,1,0,0,0,1983,1,0
46,"0","Travel_Frequently","Tax","30분미만",4,"인문학",62,1,"0",3,2,"감사직",4,"Single",5772,4,21,4,3,14,4,3,9,6,0,8,1974,2,24
35,"0","Travel_Rarely","Audit","30분미만",1,"기술공학",63,4,"0",4,1,"기술컨설팅직",4,"Married",2269,1,19,3,4,1,2,3,1,0,0,1,1985,0,0
48,"1","Travel_Rarely","Audit","30분미만",2,"기술공학",64,1,"0",2,3,"기술컨설팅직",3,"Single",5381,9,13,3,4,23,2,3,1,0,0,0,1972,0,36
28,"1","Travel_Rarely","Audit","30분미만",4,"자연과학",65,3,"0",3,1,"기술컨설팅직",3,"Single",3441,1,13,3,3,2,3,2,2,2,2,2,1992,2,25
44,"0","Travel_Rarely","Tax","30분미만",5,"인문학",68,2,"1",3,2,"감사직",1,"Divorced",5454,5,21,4,3,9,2,2,4,3,1,3,1976,1,18
35,"0","Non-Travel","Audit","1시간미만",2,"상경계",70,3,"0",2,3,"투자자문직",1,"Married",9884,2,13,3,3,10,3,3,4,0,2,3,1985,1,13
26,"0","Travel_Rarely","Tax"," 1시간이상",3,"인문학",72,3,"1",2,2,"감사직",4,"Married",4157,7,19,3,3,5,2,2,2,2,0,0,1994,3,31
33,"0","Travel_Frequently","Audit","30분미만",2,"기술공학",73,1,"1",3,3,"기술직",4,"Single",13458,1,12,3,3,15,1,3,15,14,8,12,1987,0,37
35,"0","Travel_Frequently","Tax","1시간미만",5,"기술공학",74,2,"0",3,3,"감사직",1,"Married",9069,1,22,4,4,9,3,2,9,8,1,8,1985,0,0
35,"0","Travel_Rarely","Audit"," 1시간이상",4,"상경계",75,3,"1",3,1,"기술컨설팅직",1,"Married",4014,3,15,3,3,4,3,3,2,2,2,2,1985,3,24
31,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",76,4,"0",3,2,"기술컨설팅직",4,"Divorced",5915,3,22,4,4,10,3,2,7,7,1,7,1989,3,0
37,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",77,1,"0",2,2,"세무직",3,"Divorced",5993,1,18,3,3,7,2,4,7,5,0,7,1983,2,0
32,"0","Travel_Rarely","Audit","30분미만",3,"상경계",78,1,"0",3,2,"세무직",4,"Married",6162,1,22,4,2,9,3,3,9,8,7,8,1988,2,34
38,"0","Travel_Frequently","Audit"," 1시간이상",5,"기술공학",79,4,"1",3,2,"기술컨설팅직",4,"Single",2406,1,11,3,4,10,2,3,10,3,9,9,1982,3,0
50,"0","Travel_Rarely","Audit","30분미만",2,"상경계",80,2,"1",2,5,"기술직",3,"Divorced",18740,5,12,3,4,29,2,2,27,3,13,8,1970,1,29
59,"0","Travel_Rarely","Tax"," 1시간이상",3,"기술공학",81,1,"1",3,3,"감사직",1,"Single",7637,7,11,3,4,28,3,2,21,16,7,9,1961,0,0
36,"0","Travel_Rarely","Audit","30분미만",3,"자연과학",83,3,"1",3,3,"투자자문직",3,"Divorced",10096,1,13,3,2,17,2,3,17,14,12,8,1984,0,0
55,"0","Travel_Rarely","Audit","30분미만",3,"상경계",84,4,"1",3,4,"연구직",3,"Divorced",14756,2,14,3,3,21,2,3,5,0,0,2,1965,2,26
36,"0","Travel_Frequently","Audit","1시간미만",3,"기술공학",85,2,"0",2,2,"세무직",2,"Single",6499,1,13,3,3,6,3,3,6,5,0,3,1984,2,0
45,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",86,2,"0",3,3,"컨설팅직",1,"Divorced",9724,2,17,3,3,25,2,3,1,0,0,0,1975,1,0
35,"0","Travel_Frequently","Audit","30분미만",3,"상경계",88,2,"0",3,1,"컨설팅직",1,"Married",2194,4,13,3,4,5,2,2,3,2,1,2,1985,2,0
36,"1","Travel_Rarely","Audit","30분미만",3,"상경계",90,4,"0",2,1,"컨설팅직",3,"Married",3388,0,17,3,1,2,0,2,1,0,0,0,1984,3,2
59,"0","Travel_Frequently","Tax","30분미만",1,"기술공학",91,1,"1",2,2,"감사직",3,"Single",5473,7,11,3,4,20,2,2,4,3,1,3,1961,2,0
29,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",94,3,"0",3,1,"컨설팅직",2,"Married",2703,0,23,4,4,6,3,3,5,4,0,4,1991,0,0
31,"0","Travel_Rarely","Audit","30분미만",4,"상경계",95,3,"0",3,1,"컨설팅직",2,"Single",2501,1,17,3,2,1,4,3,1,1,1,0,1989,3,0
32,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",96,2,"0",3,2,"컨설팅직",2,"Married",6220,1,17,3,2,10,3,3,10,4,0,9,1988,0,0
36,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",97,2,"1",4,1,"기술컨설팅직",4,"Married",3038,3,12,3,2,5,3,3,1,0,0,0,1984,2,0
31,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",98,3,"1",3,2,"세무직",4,"Single",4424,1,23,4,4,11,2,3,11,7,1,8,1989,3,0
35,"0","Travel_Rarely","Tax","30분미만",4,"인문학",100,3,"0",2,2,"감사직",1,"Single",4312,0,14,3,2,16,2,3,15,13,2,8,1985,3,0
45,"0","Travel_Rarely","Audit","30분미만",4,"기타",101,4,"0",3,3,"기술직",1,"Married",13245,4,14,3,2,17,3,4,0,0,0,0,1975,1,4
37,"0","Travel_Rarely","Audit","30분미만",4,"상경계",102,1,"0",3,3,"기술직",3,"Single",13664,4,13,3,1,16,3,4,5,2,0,2,1983,2,0
46,"0","Travel_Rarely","CS & DA","30분미만",2,"상경계",103,2,"0",3,2,"사무직",2,"Divorced",5021,8,22,4,4,16,2,3,4,2,0,2,1974,0,48
30,"0","Travel_Rarely","Audit","30분미만",1,"기술공학",104,4,"0",2,2,"기술컨설팅직",4,"Married",5126,1,12,3,3,10,1,2,10,8,3,0,1990,2,20
35,"0","Travel_Rarely","Audit","30분미만",3,"상경계",105,2,"0",2,1,"컨설팅직",3,"Single",2859,1,18,3,1,6,3,3,6,4,0,4,1985,1,0
55,"0","Travel_Rarely","Tax","30분미만",2,"기술공학",106,1,"0",3,3,"감사직",4,"Married",10239,3,14,3,4,24,4,3,1,0,1,0,1965,0,0
38,"0","Non-Travel","Audit","30분미만",3,"상경계",107,2,"1",1,2,"컨설팅직",4,"Divorced",5329,7,12,3,4,17,3,3,13,11,1,9,1982,1,19
34,"0","Travel_Rarely","Audit","30분미만",2,"상경계",110,1,"0",3,2,"세무직",2,"Married",4325,1,15,3,3,5,2,3,5,2,1,3,1986,0,0
56,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",112,4,"0",1,3,"세무직",4,"Single",7260,4,11,3,1,37,3,2,6,4,0,2,1964,0,0
23,"0","Travel_Rarely","Tax","30분미만",1,"자연과학",113,3,"0",3,1,"영업직",1,"Divorced",2322,3,13,3,3,3,3,3,0,0,0,0,1997,3,0
51,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",116,4,"0",3,1,"기술컨설팅직",4,"Married",2075,3,23,4,2,10,4,3,4,2,0,3,1969,0,0
30,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",117,3,"0",2,2,"투자자문직",4,"Married",4152,1,19,3,1,11,3,3,11,10,10,8,1990,0,0
46,"1","Travel_Rarely","Tax","30분미만",2,"상경계",118,3,"0",2,3,"감사직",4,"Single",9619,1,16,3,4,9,3,3,9,8,4,7,1974,1,0
40,"0","Travel_Frequently","Audit","30분미만",4,"기술공학",119,3,"0",2,4,"투자자문직",2,"Married",13503,1,22,4,4,22,3,2,22,3,11,11,1980,3,0
51,"0","Travel_Rarely","Tax"," 1시간이상",4,"인문학",120,3,"0",3,2,"감사직",4,"Single",5441,0,22,4,4,11,2,1,10,7,1,0,1969,0,22
30,"0","Travel_Rarely","Tax","30분미만",2,"상경계",121,3,"1",2,2,"감사직",2,"Divorced",5209,1,12,3,2,11,4,2,11,8,2,7,1990,3,8
46,"0","Travel_Frequently","Audit","30분미만",3,"상경계",124,3,"0",2,3,"투자자문직",1,"Married",10673,2,13,3,3,21,5,2,10,9,9,5,1974,0,27
32,"0","Travel_Rarely","Tax","30분미만",4,"상경계",125,2,"0",3,2,"감사직",3,"Single",5010,1,16,3,1,12,0,3,11,8,5,7,1988,1,0
54,"0","Travel_Rarely","Audit","30분미만",4,"자연과학",126,1,"1",3,3,"기술직",3,"Married",13549,9,12,3,1,16,5,1,4,3,0,3,1966,1,0
24,"0","Travel_Rarely","Tax","30분미만",2,"기타",128,1,"1",3,2,"감사직",3,"Married",4999,0,21,4,1,4,2,2,3,2,0,2,1996,2,0
28,"0","Non-Travel","Tax","30분미만",3,"상경계",129,2,"0",3,2,"감사직",3,"Married",4221,1,15,3,2,5,3,4,5,4,0,4,1992,0,0
58,"0","Travel_Rarely","Tax","30분미만",4,"상경계",131,4,"0",3,4,"감사직",3,"Single",13872,0,13,3,3,38,1,2,37,10,1,8,1962,3,0
44,"0","Non-Travel","Audit"," 1시간이상",3,"상경계",132,2,"0",3,2,"기술컨설팅직",2,"Married",2042,4,12,3,3,17,3,4,3,2,1,2,1976,2,0
37,"1","Travel_Rarely","CS & DA","30분미만",4,"예체능",133,3,"0",3,1,"사무직",1,"Divorced",2073,4,22,4,4,7,3,3,3,2,0,2,1983,2,19
32,"0","Travel_Rarely","Audit","30분미만",1,"기술공학",134,4,"0",3,1,"컨설팅직",1,"Single",2956,1,13,3,4,1,2,3,1,0,0,0,1988,1,0
20,"1","Travel_Frequently","Audit","30분미만",3,"기술공학",137,4,"1",2,1,"기술컨설팅직",4,"Single",2926,1,18,3,2,1,5,3,1,0,1,0,2000,0,17
34,"0","Travel_Rarely","Audit","30분미만",4,"기타",138,1,"1",3,2,"컨설팅직",3,"Single",4809,1,14,3,3,16,3,3,16,13,2,10,1986,2,0
37,"0","Non-Travel","Audit","30분미만",2,"기술공학",139,3,"0",2,2,"투자자문직",4,"Divorced",5163,5,14,3,4,17,2,4,1,0,0,0,1983,3,0
59,"0","Non-Travel","CS & DA","30분미만",4,"예체능",140,3,"1",2,5,"연구직",4,"Married",18844,9,21,4,4,30,3,3,3,2,2,2,1961,0,0
50,"0","Travel_Frequently","Audit","30분미만",3,"기술공학",141,1,"1",3,5,"기술직",2,"Married",18172,3,19,3,1,28,1,2,8,3,0,7,1970,1,23
25,"1","Travel_Rarely","Tax","30분미만",3,"인문학",142,3,"0",2,2,"감사직",3,"Single",5744,1,11,3,4,6,1,3,6,4,0,3,1995,1,6
25,"0","Travel_Rarely","Audit","30분미만",1,"상경계",143,4,"0",2,1,"컨설팅직",4,"Married",2889,1,11,3,3,2,2,3,2,2,2,1,1995,3,0
22,"0","Travel_Rarely","Audit","1시간미만",3,"상경계",144,2,"1",3,1,"기술컨설팅직",4,"Single",2871,1,15,3,3,1,5,3,0,0,0,0,1998,0,0
51,"0","Travel_Frequently","Audit","30분미만",4,"상경계",145,1,"1",2,3,"투자자문직",1,"Single",7484,3,20,4,3,23,1,2,13,12,12,8,1969,0,0
34,"1","Travel_Frequently","Audit","30분미만",3,"기술공학",147,1,"0",1,2,"기술컨설팅직",3,"Single",6074,1,24,4,4,9,3,3,9,7,0,6,1986,1,34
54,"0","Non-Travel","CS & DA"," 1시간이상",3,"예체능",148,4,"1",4,4,"연구직",4,"Single",17328,2,12,3,3,23,3,3,5,3,4,4,1966,1,11
24,"0","Travel_Rarely","Audit","1시간미만",1,"기술공학",150,2,"0",3,1,"기술컨설팅직",3,"Married",2774,0,12,3,3,6,2,3,5,3,1,2,1996,2,0
34,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",151,3,"1",2,2,"컨설팅직",2,"Divorced",4505,6,15,3,3,12,3,3,1,0,0,0,1986,0,0
37,"0","Travel_Rarely","Tax","30분미만",3,"기술공학",152,3,"0",3,3,"감사직",4,"Single",7428,2,12,3,1,12,3,3,5,3,1,3,1983,3,0
34,"0","Travel_Rarely","Audit","30분미만",3,"상경계",153,3,"1",2,3,"연구직",1,"Single",11631,2,12,3,4,14,6,3,11,10,5,8,1986,3,0
36,"0","Travel_Frequently","Tax","1시간미만",2,"자연과학",154,2,"1",3,3,"감사직",4,"Married",9738,0,14,3,3,10,6,3,9,7,2,8,1984,1,0
36,"0","Travel_Rarely","Audit","30분미만",2,"기술공학",155,1,"1",3,1,"기술컨설팅직",4,"Divorced",2835,5,22,4,1,7,2,3,1,0,0,0,1984,0,0
43,"0","Travel_Frequently","Tax"," 1시간이상",2,"기술공학",158,3,"0",3,4,"연구직",4,"Married",16959,1,12,3,4,25,3,4,25,12,4,12,1977,0,46
30,"0","Travel_Frequently","Audit"," 1시간이상",3,"기술공학",159,1,"0",1,1,"컨설팅직",3,"Divorced",2613,1,25,4,3,10,2,2,10,7,0,9,1990,1,0
33,"0","Non-Travel","Tax"," 1시간이상",2,"인문학",160,3,"0",3,2,"감사직",2,"Married",6146,0,13,3,1,8,2,4,7,7,0,7,1987,1,0
56,"1","Travel_Rarely","Audit","1시간미만",4,"기술공학",161,2,"1",3,1,"컨설팅직",2,"Married",4963,9,18,3,1,7,2,3,5,4,4,3,1964,0,52
51,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",162,1,"0",3,5,"기술직",3,"Single",19537,7,13,3,3,23,5,3,20,18,15,15,1969,1,0
31,"1","Travel_Rarely","Tax","30분미만",4,"기술공학",163,2,"0",1,2,"감사직",3,"Married",6172,4,18,3,2,12,3,2,7,7,7,7,1989,2,9
26,"0","Travel_Rarely","Audit","30분미만",3,"기타",164,3,"1",2,1,"컨설팅직",2,"Married",2368,1,19,3,3,5,3,2,5,4,4,3,1994,0,0
58,"1","Travel_Rarely","Audit"," 1시간이상",4,"상경계",165,4,"1",3,3,"투자자문직",4,"Married",10312,1,12,3,4,40,3,2,40,10,15,6,1962,0,0
19,"1","Travel_Rarely","Tax"," 1시간이상",1,"인문학",167,4,"0",3,1,"영업직",3,"Single",1675,1,19,3,4,0,2,2,0,0,0,0,2001,3,26
22,"0","Travel_Rarely","Audit","30분미만",1,"자연과학",169,3,"0",3,1,"기술컨설팅직",4,"Married",2523,0,14,3,3,3,2,3,2,1,2,1,1998,2,0
49,"0","Travel_Rarely","Audit","1시간미만",4,"상경계",170,3,"1",3,2,"세무직",1,"Married",6567,1,14,3,3,16,2,2,15,11,5,11,1971,2,0
43,"0","Travel_Frequently","Audit"," 1시간이상",3,"상경계",171,2,"1",4,1,"컨설팅직",3,"Single",4739,4,12,3,4,18,2,3,3,2,1,2,1977,0,0
50,"0","Travel_Frequently","Tax","1시간미만",3,"인문학",174,3,"1",3,3,"감사직",4,"Single",9208,4,11,3,4,16,3,3,2,2,2,1,1970,1,0
31,"1","Travel_Rarely","Tax","1시간미만",3,"기술공학",175,2,"1",1,2,"감사직",3,"Married",4559,3,11,3,3,4,2,3,2,2,2,2,1989,1,2
41,"0","Travel_Rarely","Tax","30분미만",1,"기술공학",176,3,"0",3,3,"감사직",3,"Divorced",8189,3,13,3,3,12,2,3,9,7,0,7,1979,3,32
26,"0","Travel_Rarely","CS & DA"," 1시간이상",1,"기술공학",177,3,"1",3,1,"사무직",3,"Married",2942,1,23,4,4,8,3,3,8,7,5,7,1994,3,0
36,"0","Travel_Rarely","Audit","30분미만",2,"상경계",178,2,"0",3,2,"세무직",2,"Divorced",4941,6,20,4,4,7,0,3,3,2,0,1,1984,0,0
51,"1","Travel_Frequently","Audit","30분미만",4,"기술공학",179,1,"0",1,3,"세무직",4,"Single",10650,2,15,3,4,18,2,3,4,2,0,3,1969,0,0
39,"0","Travel_Rarely","Tax","30분미만",4,"기술공학",182,4,"1",2,2,"감사직",3,"Married",5902,4,14,3,3,17,1,4,15,11,5,9,1981,2,0
25,"0","Travel_Rarely","Tax"," 1시간이상",3,"기술공학",183,1,"0",2,2,"감사직",3,"Married",8639,2,18,3,4,6,3,3,2,2,2,2,1995,3,0
30,"0","Travel_Rarely","CS & DA","30분미만",3,"예체능",184,3,"0",3,2,"사무직",4,"Married",6347,0,19,3,4,12,2,1,11,9,4,7,1990,3,3
32,"1","Travel_Rarely","Audit","30분미만",3,"상경계",190,1,"1",3,1,"기술컨설팅직",1,"Single",4200,7,22,4,1,10,2,4,5,4,0,4,1988,3,0
45,"0","Travel_Rarely","Audit"," 1시간이상",3,"상경계",192,3,"0",3,1,"컨설팅직",4,"Single",3452,5,13,3,2,9,2,2,6,5,0,3,1975,1,0
38,"0","Travel_Rarely","Audit","30분미만",5,"자연과학",193,4,"1",3,2,"컨설팅직",3,"Single",4317,3,20,4,2,19,2,3,3,2,2,2,1982,2,37
30,"0","Travel_Rarely","Audit","1시간미만",3,"기술공학",194,1,"1",3,1,"컨설팅직",3,"Single",2632,1,14,3,3,5,4,2,5,4,0,4,1990,2,0
32,"0","Travel_Frequently","Tax","30분미만",2,"상경계",195,4,"0",1,2,"감사직",4,"Divorced",4668,0,17,3,4,9,2,4,8,7,0,7,1988,2,0
30,"0","Travel_Rarely","Audit","30분미만",3,"자연과학",197,4,"1",3,1,"컨설팅직",1,"Divorced",3204,5,14,3,4,8,3,3,3,2,2,2,1990,1,0
30,"0","Travel_Rarely","Audit","30분미만",1,"상경계",198,2,"0",2,1,"기술컨설팅직",4,"Single",2720,0,13,3,4,6,3,3,5,3,1,2,1990,2,0
41,"0","Travel_Frequently","Audit","30분미만",3,"기술공학",199,4,"0",2,4,"연구직",1,"Divorced",17181,4,13,3,2,21,2,2,7,6,7,7,1979,2,0
41,"0","Travel_Rarely","Audit","30분미만",4,"기술공학",200,3,"0",3,1,"기술컨설팅직",1,"Married",2238,2,21,4,4,7,2,3,5,0,1,4,1979,1,0
19,"0","Travel_Rarely","Audit","30분미만",1,"상경계",201,2,"1",3,1,"기술컨설팅직",2,"Single",1483,1,14,3,4,1,3,3,1,0,0,0,2001,3,0
40,"0","Travel_Frequently","Audit"," 1시간이상",3,"상경계",202,2,"1",3,2,"컨설팅직",2,"Divorced",5605,1,11,3,1,20,2,3,20,7,2,13,1980,0,0
35,"0","Travel_Rarely","Tax","30분미만",5,"인문학",204,3,"0",3,3,"감사직",2,"Married",7295,1,13,3,1,10,3,3,10,8,0,6,1985,0,0
53,"0","Travel_Rarely","Tax","30분미만",2,"인문학",205,2,"0",3,2,"영업직",3,"Married",2306,2,20,4,4,13,3,1,7,7,4,5,1967,1,10
45,"0","Travel_Rarely","Audit","30분미만",3,"기술공학",206,2,"0",3,2,"기술컨설팅직",2,"Divorced",2348,8,18,3,3,20,2,1,17,9,0,15,1975,0,0
